Suhu Udara,Kelembapan Udara,Kelembapan Tanah,Penyiraman,Pengkabutan
27.0,72.3,27.5,Perlu,Tidak perlu
21.1,76.3,80.7,Tidak perlu,Tidak perlu
30.5,17.8,42.2,Perlu,Perlu
18.4,29.7,50.5,Perlu,Tidak perlu
18.4,77.9,65.0,Perlu,Tidak perlu
25.6,29.8,58.9,Perlu,Tidak perlu
29.3,10.6,80.6,Tidak perlu,Perlu
28.8,30.6,15.5,Perlu,Perlu
31.4,40.3,9.3,Perlu,Perlu
19.4,86.3,80.4,Tidak perlu,Tidak perlu
29.3,75.7,53.6,Perlu,Tidak perlu
31.6,44.1,55.2,Perlu,Perlu
29.6,65.7,86.2,Tidak perlu,Perlu
26.1,73.4,4.6,Perlu,Tidak perlu
21.2,36.0,8.0,Perlu,Perlu
21.3,19.1,27.8,Perlu,Perlu
26.9,42.8,37.0,Perlu,Perlu
20.9,34.0,93.7,Tidak perlu,Perlu
27.1,64.8,17.1,Perlu,Tidak perlu
28.2,24.7,37.9,Perlu,Perlu
31.9,67.6,55.7,Perlu,Perlu
27.6,85.9,77.6,Perlu,Tidak perlu
21.3,62.9,31.5,Perlu,Tidak perlu
21.7,89.0,94.3,Tidak perlu,Tidak perlu
30.3,38.3,65.5,Perlu,Perlu
23.5,92.3,45.9,Perlu,Tidak perlu
21.7,32.2,56.1,Perlu,Tidak perlu
21.7,62.6,89.8,Tidak perlu,Tidak perlu
23.6,29.7,99.8,Tidak perlu,Tidak perlu
25.1,18.2,4.7,Perlu,Tidak perlu
19.5,66.5,79.2,Perlu,Tidak perlu
23.9,15.7,38.2,Perlu,Tidak perlu
31.9,57.6,97.1,Tidak perlu,Perlu
30.1,11.0,72.1,Perlu,Perlu
27.5,58.3,26.7,Perlu,Perlu
27.0,20.0,43.5,Perlu,Tidak perlu
24.4,95.8,87.6,Tidak perlu,Tidak perlu
21.7,55.1,17.9,Perlu,Tidak perlu
30.8,88.3,29.8,Perlu,Tidak perlu
26.9,64.8,15.3,Perlu,Tidak perlu
28.7,58.5,77.9,Perlu,Perlu
25.4,10.1,32.4,Perlu,Tidak perlu
18.3,93.6,87.9,Tidak perlu,Tidak perlu
29.6,37.7,5.8,Perlu,Perlu
30.3,95.2,8.6,Perlu,Tidak perlu
24.8,16.2,76.1,Perlu,Tidak perlu
28.7,21.6,47.5,Perlu,Perlu
25.7,33.9,87.2,Tidak perlu,Tidak perlu
23.9,29.1,53.9,Perlu,Tidak perlu
28.2,28.1,31.2,Perlu,Perlu
31.9,68.5,43.8,Perlu,Perlu
25.2,20.9,22.5,Perlu,Tidak perlu
22.7,62.9,23.0,Perlu,Tidak perlu
21.1,16.4,63.1,Perlu,Tidak perlu
21.2,91.5,86.0,Tidak perlu,Tidak perlu
19.0,31.4,66.9,Perlu,Tidak perlu
21.0,21.9,93.6,Tidak perlu,Tidak perlu
26.0,52.5,78.5,Perlu,Tidak perlu
29.3,27.1,9.7,Perlu,Perlu
24.0,48.1,46.7,Perlu,Tidak perlu
28.2,70.6,98.4,Tidak perlu,Tidak perlu
19.4,46.2,33.9,Perlu,Tidak perlu
30.1,32.4,19.0,Perlu,Perlu
24.3,48.0,27.9,Perlu,Tidak perlu
21.5,93.1,44.3,Perlu,Tidak perlu
30.1,59.5,5.1,Perlu,Perlu
32.0,85.2,96.9,Tidak perlu,Tidak perlu
31.0,86.4,16.6,Perlu,Tidak perlu
24.8,29.2,40.1,Perlu,Tidak perlu
18.8,44.1,98.5,Tidak perlu,Tidak perlu
21.7,80.6,45.5,Perlu,Tidak perlu
23.9,96.2,99.5,Tidak perlu,Tidak perlu
25.8,74.7,15.5,Perlu,Tidak perlu
22.2,97.2,57.9,Perlu,Tidak perlu
25.6,77.3,5.7,Perlu,Tidak perlu
26.2,55.3,85.3,Tidak perlu,Tidak perlu
20.2,96.5,8.0,Perlu,Tidak perlu
20.6,63.6,67.5,Perlu,Tidak perlu
21.3,20.8,89.0,Tidak perlu,Tidak perlu
21.4,63.5,61.9,Perlu,Tidak perlu
23.9,62.5,52.3,Perlu,Tidak perlu
31.1,28.4,71.6,Perlu,Perlu
21.3,45.6,67.2,Perlu,Tidak perlu
22.2,38.5,75.2,Perlu,Tidak perlu
